[2026-06-22 16:39:19,008] INFO d=128 round=14 | acc=99.14% det=0.0% tp=0 fn=2 proving=67.4ms proof=12.28KB
wandb: WARNING Tried to log to step 14 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:39:48,846] INFO d=128 round=15 | acc=99.10% det=0.0% tp=0 fn=2 proving=65.2ms proof=12.28KB
wandb: WARNING Tried to log to step 15 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:40:18,488] INFO d=128 round=16 | acc=99.19% det=0.0% tp=0 fn=2 proving=64.7ms proof=12.28KB
wandb: WARNING Tried to log to step 16 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:40:48,009] INFO d=128 round=17 | acc=99.16% det=0.0% tp=0 fn=2 proving=61.4ms proof=12.28KB
wandb: WARNING Tried to log to step 17 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:41:17,718] INFO d=128 round=18 | acc=99.19% det=0.0% tp=0 fn=2 proving=65.1ms proof=12.28KB
wandb: WARNING Tried to log to step 18 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:41:47,988] INFO d=128 round=19 | acc=99.24% det=0.0% tp=0 fn=2 proving=68.5ms proof=12.28KB
[2026-06-22 16:41:47,990] INFO d=128 DONE | det_rate=0.0% proving=64.2ms proof=12.28KB
[2026-06-22 16:41:47,991] INFO Saved per-d log to /workspace/output/ablation_d_logs/d128_results.json
[2026-06-22 16:41:47,998] INFO === d=256: starting 20 rounds ===
[2026-06-22 16:42:18,595] INFO d=256 round= 0 | acc=94.34% det=0.0% tp=0 fn=2 proving=124.3ms proof=24.53KB
wandb: WARNING Tried to log to step 0 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:42:48,547] INFO d=256 round= 1 | acc=97.19% det=0.0% tp=0 fn=2 proving=124.9ms proof=24.53KB
wandb: WARNING Tried to log to step 1 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:43:17,850] INFO d=256 round= 2 | acc=97.84% det=0.0% tp=0 fn=2 proving=118.0ms proof=24.53KB
wandb: WARNING Tried to log to step 2 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:43:47,173] INFO d=256 round= 3 | acc=98.17% det=0.0% tp=0 fn=2 proving=124.4ms proof=24.53KB
wandb: WARNING Tried to log to step 3 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:44:16,506] INFO d=256 round= 4 | acc=98.39% det=0.0% tp=0 fn=2 proving=121.1ms proof=24.53KB
wandb: WARNING Tried to log to step 4 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:44:45,843] INFO d=256 round= 5 | acc=98.56% det=0.0% tp=0 fn=2 proving=119.6ms proof=24.53KB
wandb: WARNING Tried to log to step 5 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:45:15,483] INFO d=256 round= 6 | acc=98.68% det=0.0% tp=0 fn=2 proving=118.7ms proof=24.53KB
wandb: WARNING Tried to log to step 6 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:45:45,332] INFO d=256 round= 7 | acc=98.79% det=0.0% tp=0 fn=2 proving=122.4ms proof=24.53KB
wandb: WARNING Tried to log to step 7 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:46:15,632] INFO d=256 round= 8 | acc=98.92% det=0.0% tp=0 fn=2 proving=120.7ms proof=24.53KB
wandb: WARNING Tried to log to step 8 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:46:45,411] INFO d=256 round= 9 | acc=98.90% det=0.0% tp=0 fn=2 proving=119.6ms proof=24.53KB
wandb: WARNING Tried to log to step 9 that is less than the current step 19. Steps must be monotonically increasing, so this data will be ignored. See https://wandb.me/define-metric to log data out of order.
[2026-06-22 16:47:15,254] INFO d=256 round=10 | acc=99.03% det=0.0% tp=0 fn=2 proving=121.9ms proof=24.53KB
